order quantity,price per unit,Log (price per unit),Total_in_NTD,item_name,規格,Customer,By_way,Types,Deal
1.0,53000.0,10.87804719253426,53000.0,軸封新品,XXS0020WMR00001,新唐,SEMI,國內終端,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00001,UMC 8C,SEMI,國內終端,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00002,UMC 8C,SEMI,國內終端,1.0
1.0,46095.5,10.738470610337332,46095.5,軸封組/102106580_000_07,軸封+零件,AMAT,DISPLAY,國內設備商,1.0
1.0,59015.0,10.985546927863169,59015.0,軸封新品,XXS0030WMR00001,AMAT,DISPLAY,國內設備商,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00001,UMC 8C,SEMI,國內終端,0.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00002,UMC 8C,SEMI,國內終端,0.0
1.0,59204.2,10.988747764301499,59204.2,軸封組/102104669_000_09,軸封+零件,AMAT,DISPLAY,國內設備商,1.0
1.0,40000.0,10.596634733096073,40000.0,軸封新品,XXS0006CNR00002,力積電,SEMI,國內終端,1.0
1.0,45351.325000000004,10.722194672316027,45351.325000000004,軸封組/102106580_000_07,軸封+零件,AMAT,DISPLAY,國內設備商,1.0
2.0,79500.0,11.283512300642423,159000.0,軸封新品,BXX1000CMN00001,奈司特,SEMI,國內代理商,1.0
3.0,73500.0,11.205040685200927,220500.0,軸封+迴轉接頭,131000068+410180001,日揚,SEMI,國內代理商,1.0
1.0,310000.0,12.644327576461329,310000.0,軸封新品,XXS0105WNH00001,力積電,SEMI,國內終端,1.0
5.0,49000.0,10.799575577092764,245000.0,軸封新品,XXS0030WMR00004,AUOL8A,DISPLAY,國內終端,1.0
5.0,49000.0,10.799575577092764,245000.0,軸封新品,XXS0030WMR00004,AUOL8A,DISPLAY,國內終端,1.0
5.0,9000.0,9.104979856318357,45000.0,軸封新品,XXS0012CNR00001,崇文,SEMI,國內設備商,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00002,UMC 8C,SEMI,國內終端,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00001,UMC 8C,SEMI,國內終端,1.0
1.0,31000.0,10.341742483467284,31000.0,軸封新品,XFS0020WNR00002,貫旭,OTHERS,國內設備商,1.0
1.0,66000.0,11.097410021008562,66000.0,軸封新品,XXS0030WMR00006,AMAT,DISPLAY,國內設備商,1.0
1.0,66000.0,11.097410021008562,66000.0,軸封新品,XXS0030WMR00006,AMAT,DISPLAY,國內設備商,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00002,UMC 8C,SEMI,國內終端,1.0
1.0,49500.0,10.809727948556782,99000.0,軸封新品,XXS0625AMN00001,UMC 8C,SEMI,國內終端,1.0
1.0,115000.0,11.652687407345388,115000.0,軸封新品,AXH0075CNR00001,INX-2,DISPLAY,國內終端,1.0
1.0,51000.0,10.839580911706463,51000.0,軸封新品,XXS0020WMR00001,新唐,SEMI,國內終端,1.0
1.0,51000.0,10.839580911706463,51000.0,軸封新品,XXS0020WMR00001,新唐,SEMI,國內終端,1.0
2.0,40000.0,10.596634733096073,221000.0,軸封新品,AFS0012CNR00004,漢民,SEMI,國內設備商,1.0
1.0,70000.0,11.156250521031495,221000.0,軸封新品,AFM0040WNR00001,漢民,SEMI,國內設備商,1.0
1.0,41000.0,10.621327345686446,221000.0,軸封新品,ANS0012WNN00001,漢民,SEMI,國內設備商,1.0
1.0,30000.0,10.308952660644293,221000.0,軸封新品,AXM0012CNR00001,漢民,SEMI,國內設備商,1.0
4.0,58315.95,10.973630919826718,357380.1,軸封新品,XXS0030WMR00004,艾美瑞,DISPLAY,國外代理商,1.0
