訂單號,訂單序號,品號,品名,規格,訂單數量,單價,訂單金額,匯率,結案碼,客戶代號,客戶簡稱,型態別,通路別
201501001  ,0001,131000011,軸封新品,XXS0020WMR00001,1.0,53000.0,53000.0,1.0,Y,S0015,新唐,201,101
201501002  ,0001,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201501002  ,0002,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201501003  ,0001,132000112,軸封新品,BCM1000CNR00001,1.0,0.0,0.0,31.9,Y,O0028,KJLC,223,107
201501003  ,0002,132000113,軸封新品,BCM2000CNR00001,1.0,0.0,0.0,31.9,Y,O0028,KJLC,223,107
201501004  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1445.0,31.9,Y,F0002,AMAT,202,102
201501005  ,0001,131000021,軸封新品,XXS0030WMR00001,1.0,1850.0,1850.0,31.9,Y,F0002,AMAT,202,102
201501006  ,0001,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,N,S0003,UMC 8C,201,101
201501006  ,0002,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,N,S0003,UMC 8C,201,101
201501006  ,0003,131000025,軸封新品,XXS0625AMN00001,1.0,0.0,99000.0,1.0,y,S0003,UMC 8C,201,101
201501006  ,0004,131000029,軸封新品,XXS0625AMN00002,1.0,0.0,99000.0,1.0,y,S0003,UMC 8C,201,101
201501007  ,0001,214000001,軸封組/102104669_000_09,軸封+零件,1.0,1870.0,1870.0,31.66,Y,F0002,AMAT,202,102
201502001  ,0001,132000014,軸封新品,XXS0006CNR00002,1.0,40000.0,40000.0,1.0,Y,S0011,力積電,201,101
201503001  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,1.0,1445.0,1445.0,31.385,Y,F0002,AMAT,202,102
201503003  ,0001,132000102,軸封新品,BXX1000CMN00001,2.0,79500.0,159000.0,1.0,Y,S0034,奈司特,203,101
201503004  ,0001,114000006,軸封+迴轉接頭,131000068+410180001,3.0,73500.0,220500.0,1.0,Y,F0019,日揚,203,101
201503005  ,0002,131000026,軸封新品,XXS0105WNH00001,1.0,310000.0,310000.0,1.0,Y,S0011,力積電,201,101
201503006  ,0001,131000018,軸封新品,XXS0030WMR00004,5.0,49000.0,245000.0,1.0,Y,F0075,AUOL8A,201,102
201503007  ,0001,131000018,軸封新品,XXS0030WMR00004,5.0,49000.0,245000.0,1.0,Y,F0075,AUOL8A,201,102
201503008  ,0001,132000109,軸封新品,XXS0012CNR00001,5.0,9000.0,45000.0,1.0,Y,S0033,崇文,202,101
201504001  ,0001,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504001  ,0002,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504002  ,0001,131000020,軸封新品,XFS0020WNR00002,1.0,31000.0,31000.0,1.0,Y,O0002,貫旭,202,107
201504003  ,0001,132000115,軸封,AFS0012CNR00005,1.0,0.0,0.0,1.0,Y,L0002,晶電龍潭廠,201,103
201504004  ,0001,131000032,軸封新品,XXS0030WMR00006,1.0,66000.0,66000.0,1.0,Y,F0002,AMAT,202,102
201504005  ,0001,131000032,軸封新品,XXS0030WMR00006,1.0,66000.0,66000.0,1.0,Y,F0002,AMAT,202,102
201504006  ,0001,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504006  ,0002,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504007  ,0001,132000099,軸封新品,AXH0075CNR00001,1.0,115000.0,115000.0,1.0,Y,F0006,INX-2,201,102
201504008  ,0001,131000011,軸封新品,XXS0020WMR00001,1.0,51000.0,51000.0,1.0,Y,S0015,新唐,201,101
201504009  ,0001,131000011,軸封新品,XXS0020WMR00001,1.0,51000.0,51000.0,1.0,Y,S0015,新唐,201,101
201504010  ,0001,132000054,軸封新品,BBS0375CNR00001,1.0,0.0,0.0,1.0,Y,O0052,CRYOSYS,223,107
201504011  ,0001,132000084,軸封新品,AFS0012CNR00004,2.0,40000.0,221000.0,1.0,Y,O0030,漢民,202,101
201504011  ,0002,131000056,軸封新品,AFM0040WNR00001,1.0,70000.0,221000.0,1.0,Y,O0030,漢民,202,101
201504011  ,0003,131000055,軸封新品,ANS0012WNN00001,1.0,41000.0,221000.0,1.0,Y,O0030,漢民,202,101
201504011  ,0004,132000089,軸封新品,AXM0012CNR00001,1.0,30000.0,221000.0,1.0,Y,O0030,漢民,202,101
201504012  ,0002,131000018,軸封新品,XXS0030WMR00004,4.0,1870.0,11460.0,31.185,Y,O0006,艾美瑞,223,102
201504012  ,0003,131000024,軸封新品,XXS0030WNR00011,2.0,1990.0,11460.0,31.185,Y,O0006,艾美瑞,223,102
201504013  ,0001,131000029,軸封新品,XXS0625AMN00002,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504013  ,0002,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
201504014  ,0001,214000002,軸封組/102106580_000_07,軸封+零件,0.0,1445.0,0.0,31.185,y,F0002,AMAT,202,102
201504015  ,0001,114000006,軸封+迴轉接頭,131000068+410180001,1.0,73500.0,73500.0,1.0,Y,F0019,日揚,203,101
201505001  ,0001,131000021,軸封新品,XXS0030WMR00001,5.0,55500.0,277500.0,30.79,N,F0002,AMAT,202,102
201505002  ,0001,6100037-G-000,軸封拆解評估,AXS0030W/AL2710,1.0,0.0,0.0,1.0,N,F0012,INX-7,201,102
201505003  ,0001,131000032,軸封新品,XXS0030WMR00006,1.0,66000.0,66000.0,1.0,Y,F0002,AMAT,202,102
201505004  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,10000.0,20000.0,1.0,Y,O0058,竑新,203,107
201505005  ,0001,132000120,軸封新品,AXS0018CNR00001,1.0,0.0,0.0,1.0,Y,F0073,AUOL7A,201,102
201506001  ,0001,132000132,軸封新品,AFS0020CNR00003,2.0,10000.0,20000.0,1.0,Y,F0019,日揚,203,101
201506002  ,0001,132000135,軸封新品,AXS0006CNR00001,1.0,40000.0,40000.0,1.0,Y,S0040,WaferTech,221,101
201506003  ,0001,132000131,軸封新品,AGS0008CNR00002,1.0,8600.0,8600.0,1.0,Y,F0019,日揚,203,101
201506004  ,0001,132000054,軸封新品,BBS0375CNR00001,2.0,10500.0,21000.0,1.0,Y,O0010,加高,201,107
201506005  ,0001,131000039,軸封新品,BFM1500WNR00001,1.0,93000.0,93000.0,1.0,Y,S0020,南茂,201,101
201506006  ,0001,132000054,軸封新品,BBS0375CNR00001,3.0,12825.0,81225.0,1.0,Y,O0059,璟茂,202,107
201506006  ,0002,132000148,軸封新品,BBS0250CNR00005,3.0,14250.0,81225.0,1.0,Y,O0059,璟茂,202,107
201506007  ,0001,132000054,軸封新品,BBS0375CNR00001,5.0,8000.0,40000.0,1.0,Y,E0001,聚昌,202,103
201507001  ,0001,131000025,軸封新品,XXS0625AMN00001,1.0,49500.0,99000.0,1.0,Y,S0003,UMC 8C,201,101
