訂單別,訂單號,訂單序號,品號,品名,規格,庫別,訂單數量,已交數量,單位,單價,金額,預交日,客戶品號,結案碼,生產加工包裝資訊
2201,201801001  ,0001,132000007,軸封新品,AFS0020CNR00,A,2.0,2.0,SET,435.0,870.0,20180227,,Y,
2201,201801002  ,0001,132000290,軸封新品,BCH1500CNN00001,A,1.0,1.0,SET,35500.0,35500.0,20180212,,Y,
2201,201801003  ,0001,132000054,軸封新品,BBS0375CNR00001,A,2.0,2.0,SET,8000.0,16000.0,20180227,262101117,Y,
2201,201801004  ,0001,132000085,軸封新品(日揚),AFS0020CNR10/1000FF011004,A,1.0,1.0,SET,10000.0,10000.0,20180202,1000FF011004,Y,
2201,201801005  ,0002,132000240,軸封新品,BCM1000CNR00002,A,2.0,2.0,SET,584.25,1168.5,20180208,KLFDHC100-A,Y,
2201,201801006  ,0001,132000081,軸封新品,AFS0020CNR10,A,2.0,2.0,SET,17000.0,34000.0,20180131,,Y,
2201,201801007  ,0001,132000102,軸封新品,BXX1000CMN00001,A,2.0,2.0,SET,79500.0,159000.0,20180209,52-131938,Y,
2201,201801008  ,0001,132000080,軸封新品,BBS0250CNR00003,A,5.0,5.0,SET,252.23,1261.15,20180112,KLFDBP02510-A,Y,
2201,201801009  ,0001,132000054,軸封新品,BBS0375CNR00001,A,1.0,1.0,SET,8000.0,8000.0,20180227,262101117,Y,
2201,201801010  ,0001,132000054,軸封新品,BBS0375CNR00001,A,2.0,2.0,SET,8000.0,16000.0,20180316,262101117,Y,
2201,201801011  ,0001,132000084,軸封新品,AFS0012CNR00004/102-000532_01B,A,1.0,1.0,SET,40000.0,40000.0,20180208,,Y,
2201,201801012  ,0001,132000201,軸封新品,BBS0375CNR00007,A,2.0,2.0,SET,323.1,646.2,20180220,KLFDBP03710-A,Y,
2201,201801012  ,0002,132000240,軸封新品,BCM1000CNR00002,A,2.0,2.0,SET,584.25,1168.5,20180220,KLFDHC100-A,Y,
2201,201801013  ,0001,132000080,軸封新品,BBS0250CNR00003,A,20.0,20.0,SET,252.23,5044.6,20180209,KLFDBP02510-A,Y,
2201,201801014  ,0001,132000154,軸封新品,AFM0020CNR10,A,2.0,2.0,SET,21000.0,42000.0,20180227,,Y,
2201,201801015  ,0001,131000056,軸封新品,AFM0040WNR00001,A,1.0,1.0,SET,60000.0,60000.0,20180209,324-000011,Y,
2201,201801016  ,0001,132000007,軸封新品,AFS0020CNR00,A,4.0,4.0,SET,490.0,1960.0,20180309,,Y,
2201,201801016  ,0002,99999,FedEX 運費,,D,1.0,1.0,PCS,120.0,120.0,20180309,,Y,
2201,201801017  ,0001,132000201,軸封新品,BBS0375CNR00007,A,3.0,3.0,SET,323.1,969.3,20180227,KLFDBP03710-A,Y,
2201,201801018  ,0001,132000049,軸封新品,BXX4167CNR00001,A,4.0,4.0,SET,270000.0,1080000.0,20180418,,Y,
2201,201801019  ,0001,131000086,軸封新品,AXR0100WXZ00001,A,1.0,1.0,SET,3980000.0,3980000.0,20180730,,Y,
2201,201801020  ,0001,132000054,軸封新品,BBS0375CNR00001,A,1.0,1.0,SET,550.0,550.0,20180427,,Y,
2201,201801021  ,0001,132000257,軸封新品,BFM1000CNR00001,A,3.0,3.0,SET,1040.0,3120.0,20180212,KLFDHOF10070-A,Y,
2201,201801022  ,0001,132000201,軸封新品,BBS0375CNR00007,A,6.0,6.0,SET,323.1,1938.6,20180309,KLFDBP03710-A,Y,
2201,201801022  ,0002,131000130,軸封新品,BGS0375WNR00001,A,2.0,2.0,SET,365.4,730.8,20180309,KLFDCF037275W-A,Y,
